지반침하사고발생신고,,,,,,,,,,,,,,,,,,,
No,사고발생위치,사고발생일자,통보일자,발생원인구분,발생지역지질종류,발생규모폭(m),발생규모연장(m),발생규모깊이(m),피해사망자수(명),피해부상자수(명),피해차량대수(대),사고지점위도,사고지점경도,복구방법,복구상태,복구완료일자,최종수정일자,최종 수정자,최종 수정자 ID
18,충청남도 홍성군 서부면 판교리 1013번지(462번지 선),2024-09-04 오전 00:00,2025-01-21 오후 04:38,하수관 손상,,1.5,2,1.5,0,0,0,36.543273696,126.528963489,긴급보수공사 실시,복구완료,2024-09-24 오전 00:00,2025-01-22 오후 05:37,충청남도 홍성군,murisae07
19,서울특별시 구로구 구로동 231-4,2024-09-01 오전 00:00,2024-09-03 오후 03:04,하수관 손상,,0.8,0.8,1.2,0,0,0,37.4824197282,126.8934446827,아스팔트 복구 완료,복구완료,2024-09-01 오전 00:00,2025-01-23 오후 03:24,서울특별시,sejun486
20,대구광역시 동구 방촌동 1020-41,2024-08-31 오전 00:00,2024-09-02 오전 10:06,하수관 손상,,0.5,0.3,1.7,0,0,0,35.8791250547,128.6604489178,- 동구청 건설과 : 하수도관 보수 및 포장 복구 완료(2024. 8. 31. 18:30경),복구완료,2024-08-31 오전 00:00,2024-09-02 오전 10:06,대구광역시 동구,daegudongu
21,서울특별시 강남구 역삼동 650,2024-08-31 오전 00:00,2024-09-03 오후 02:57,기타,,1.5,2,0.06,0,0,0,37.5070320961,127.0341496178,입시복구 완료,복구완료,2024-08-31 오전 00:00,2025-01-23 오후 03:37,서울특별시,sejun486
22,서울특별시 서대문구 연희동 413-5,2024-08-30 오전 00:00,2024-08-31 오전 12:43,하수관 손상,,1.5,1.5,0.08,0,0,0,37.5664235049,126.9253941177,아스팔트 포장,복구완료,2024-08-30 오전 00:00,2025-01-23 오후 03:33,서울특별시,sejun486
23,서울특별시 서대문구 연희동 413-128,2024-08-29 오전 00:00,2024-08-29 오후 04:25,기타,,4,6,2.5,1,1,1,37.5664901613,126.9243787652,아스팔트 포장,복구완료,2024-08-29 오전 00:00,2025-02-05 오전 10:07,서울특별시 서대문구,paskin
24,서울특별시 송파구 풍납동 490-6,2024-08-28 오전 00:00,2024-08-29 오후 04:23,기타,,3,1,0.1,0,0,0,37.5345194862,127.1218075054,관리청 복구 완료,복구완료,2024-08-28 오전 00:00,2024-08-29 오후 04:23,,
25,부산광역시 사상구 감전동 163-11번지 인근,2024-08-21 오전 00:00,2024-08-21 오후 03:44,기타,기타,1,1,1,0,1,1,35.1509317908,128.9819158565,- 침하 발생원인 파악 후 전체 복구 예정,복구완료,2024-09-06 오전 00:00,2024-10-14 오후 02:02,신상기,ssk3325
26,부산광역시 사상구 감전동 162-26(새벽로 122 인근),2024-08-20 오전 00:00,2024-08-21 오후 03:40,기타,기타,7,5,3.5,0,0,0,35.1520168624,128.9823978711,"- 오수관로 및 측구, KT  통신설로 파손부 복구 후 전체 포장 복구 실시",복구완료,2024-09-06 오전 00:00,2024-10-14 오후 02:04,신상기,ssk3325
27,경기도 파주시 문발동 649,2024-08-20 오전 00:00,2024-09-23 오후 07:46,굴착공사 부실,기타,5,50,0.3,0,0,0,37.7233647264,126.6909836656,유수지 인접 흙막이 배면에 시트파일 추가 및 하부 차수그라우팅 및 웰 포인트 공법으로 지하수 유입 조절,복구완료,2024-09-12 오전 00:00,2025-02-11 오후 02:07,경기도 파주시,vxzjl9721
28,경상남도 창원시 마산합포구 자산동 31,2024-08-18 오전 00:00,2024-08-21 오후 04:01,하수관 손상,기타,0.8,2,2.3,0,0,0,35.2055909415,128.5651370981,토사 되메우기 및 다짐시행,복구완료,2024-08-18 오전 00:00,2024-10-21 오전 10:28,신상기,ssk3325
29,충청북도 청주시 서원구 미평동 360-2 일원,2024-08-16 오전 00:00,2025-01-10 오후 04:18,하수관 손상,기타,1.5,1.5,2,0,0,0,36.6022259895,127.4780146747,굴착 부분 되메우기 재시공 및 포장으로 단면 복구,복구완료,2024-08-16 오전 00:00,2025-01-10 오후 04:17,충청북도 청주시,cjlyjd00
30,경기도 군포시 산본동 1157,2024-08-01 오전 00:00,2024-08-01 오후 04:48,기타,기타,0.8,10,0.5,0,0,0,37.3760133003,126.9391446611,되메우기 및 다짐,복구완료,2024-08-16 오전 00:00,2025-02-05 오전 11:24,경기도 군포시,softdad
31,경기도 평택시 서탄면 수월암리 1060 (서탄로 495-56),2024-07-31 오전 00:00,2024-08-02 오후 03:13,하수관 손상,충척층,0.5,0.5,1.1,0,0,0,37.117594082,127.0166518921,"- 맨홀 내 유입구(D400)와 흄관(D600)규격 맞게 맨홀 외벽 깨기후 접합, 
  주변 몰탈 채움.
- 되메우기 및 다짐 후 아스콘포장",복구완료,2024-08-01 오전 00:00,2025-02-03 오후 03:54,신상기,ssk3325
32,부산광역시 사상구 주례동 187-3(가야대로 356),2024-07-31 오전 00:00,2024-09-12 오후 05:46,하수관 손상,기타,1,1.8,1,0,0,0,35.1509417467,129.0115251275,관로 파손부 정비 후 보도 정비,복구완료,2024-08-07 오전 00:00,2025-01-17 오후 01:26,신상기,ssk3325
33,경기도 파주시 문발동 667,2024-07-30 오전 00:00,2024-09-23 오후 07:39,굴착공사 부실,기타,3,5,0.2,0,0,0,37.7236834898,126.6927150316,시트파일 추가 시공 및 지하수 유출 부위 막음 조치,복구완료,2024-09-12 오전 00:00,2025-02-11 오후 02:12,경기도 파주시,vxzjl9721
34,부산광역시 영도구 동삼동 510-42,2024-07-28 오전 00:00,2024-07-31 오후 07:20,하수관 손상,,3,2,2,0,0,0,35.0742007068,129.0668679528," ？ 2024.07.28.(일)
 	- 21:30 : 도로함몰 민원접수(당직실) 
 	- 22:00 : 안전 조치 및 차량통제(도로 현장반, 동삼지구대)
 ？ 2024.07.29.(월) 
     - 02:00 : 현장확인 굴착시행 
 	- 06:00 : 하수관로 CCTV 조사 추가 확인
	- 08:00 : 흄관 파손확인
 	- 16:00 : 흄관 철거 및 하수관 연결 완료
     - 22:00 : 되메우기 완료
 ？ 2024.07.30.(화)
      - 07:00 : 도로 포장 실시   
      - 13:00 : 포장완료, 주변 정리(살수) 및 차량 통행",복구완료,2024-07-30 오전 00:00,2024-09-05 오전 10:58,신상기,ssk3325
35,서울특별시 성북구 하월곡동 88-1,2024-07-27 오전 00:00,2024-07-29 오후 01:46,굴착공사 부실,,2,5,3,0,0,0,37.6063300542,127.0314069516,공동 발생 구간 되메우기 후 도로 포장 복구,복구완료,2024-08-05 오전 00:00,2025-02-05 오후 02:20,신상기,ssk3325
36,부산광역시 서구 충무동2가 4-5,2024-07-25 오전 00:00,2024-07-26 오후 04:40,하수관 손상,기타,0.6,1.2,1,0,0,0,35.0953952611,129.0225018981,"누수지점 인근 측구로 유도 배수 및 토사 유출부 골재 채움 및 다짐
",복구완료,2024-07-27 오전 00:00,2025-01-07 오후 03:30,부산광역시 서구,ksyoo2848
37,경기도 용인시 기흥구 공세동 695번지,2024-07-25 오전 00:00,2024-08-02 오후 04:29,하수관 손상,,1.5,2,0.7,0,0,0,37.2401608004,127.110937131,파손관 보수 및 되메우기 등,복구완료,2024-11-01 오전 00:00,2025-02-05 오전 10:54,경기도 용인시,dyddls2437
38,경기도 평택시 독곡동 495번지 일원,2024-07-25 오전 00:00,2024-07-26 오전 10:52,상수관 손상,기타,0.5,0.5,1,0,0,0,37.0833358382,127.0635096284,상수관로 노후관 핀홀 부분 절단 후 신규관로 교체,복구완료,2024-07-25 오전 00:00,2024-07-26 오전 10:52,,
39,부산광역시 사상구 감전동 163-6(새벽로 117 인근),2024-07-24 오전 00:00,2024-07-24 오후 02:55,하수관 손상,기타,1,1.5,3,0,0,0,35.1519140412,128.9821729916,- 오수관로 파손부 정비 및 포장 복구,복구완료,2024-07-25 오전 00:00,2024-10-14 오후 02:07,신상기,ssk3325
40,경기도 남양주시 진건읍 용정리 788-5,2024-07-23 오전 00:00,2024-07-24 오전 11:18,하수관 손상,호상편마암,1,1,0.5,0,0,1,37.657292424,127.1805103031,"자갈, 흙 메움 및 시트 덮기(하수관 손상 복구 필요",복구완료,2024-09-09 오전 00:00,2024-10-16 오전 10:46,신상기,ssk3325
41,대구광역시 북구 구암동 835-1,2024-07-23 오전 00:00,2024-07-23 오후 05:24,다짐(되메우기) 불량,,1,1,1.5,0,0,0,35.9331309695,128.565834656,굴착복구,복구완료,2024-07-23 오전 00:00,2025-02-11 오후 01:52,대구광역시 북구,esafe046
42,경상남도 진주시 상평동 308-5,2024-07-23 오전 00:00,2024-07-23 오후 06:28,기타,,1,1,0.6,0,0,0,35.1696871558,128.1221782093,"굴착 후 다짐 되메우기 
오수관로 cctv 점검결과 이상 없음",복구완료,2024-07-23 오전 00:00,2024-07-23 오후 06:28,,
43,경기도 고양시 일산서구 대화동 2428,2024-07-23 오전 00:00,2024-07-24 오후 01:51,기타매설물 손상,,2,3,1,0,0,0,37.6738614059,126.7435642447,연결관 교체,복구완료,2024-07-24 오전 00:00,2024-07-24 오후 01:50,경기도 고양시,uniapple
44,서울특별시 송파구 삼전동 100-7,2024-07-22 오전 00:00,2024-07-22 오후 04:22,상수관 손상,기타,1,1,0.7,0,0,1,37.5039987003,127.0924137956,수도파손으로 원인자복구,복구완료,2024-07-22 오전 00:00,2024-08-21 오후 05:21,신상기,ssk3325
45,경상북도 경주시 황성동 342-7 일원,2024-07-22 오전 00:00,2024-07-26 오전 09:24,하수관 손상,기타,0.6,0.6,2.5,0,0,0,35.8608141716,129.2205602351,파손 위치 10m구간에 오수관로 개체 실시,복구완료,2024-07-23 오전 00:00,2024-07-26 오전 10:57,신상기,ssk3325
46,광주광역시 남구 주월동 960-13,2024-07-20 오전 00:00,2025-01-15 오후 01:33,기타,충척층,3,3,5,0,0,0,35.1341696737,126.89813451,되메우기 재시공 및 포장 복구 완료,복구완료,2024-07-21 오전 00:00,2025-01-15 오후 01:33,,
47,경기도 파주시 문발동 667,2024-07-20 오전 00:00,2024-09-23 오후 07:32,하수관 손상,기타,3,55,0.3,0,0,0,37.7233116874,126.6919278032,지하수 유출 부위를 막음 조치치 후 하부 차수 그라우팅 및 웰 포인트 공법으로 지하수 유입 조절,복구완료,2024-09-12 오전 00:00,2025-02-11 오후 02:15,경기도 파주시,vxzjl9721
